image_path,question,real_answer,formatted_pred,prediction
tdiuc_templates,How many apples are visible?,6,6,6
imported_vqa,How many giraffes are laying down?,1,1,1
tdiuc_templates,How many donuts are there?,4,6,6
imported_genome,How many chefs are there?,10,12,12
tdiuc_templates,How many motorcycles can be seen?,6,10,10
tdiuc_templates,How many broccolis are in the photo?,5,10,10
imported_vqa,How many types of fruit can be seen?,2,2,2
imported_genome,How many wheels are on the skateboard?,4,4,4
imported_vqa,How many people in the boat?,5,5,5
imported_vqa,How many animals are in the photo?,2,2,2
imported_vqa,How many people are there?,10,12,12
imported_vqa,How many zebras are in the picture?,6,7,7
imported_genome,How many glasses are shown?,1,1,1
tdiuc_templates,How many people can be seen?,7,-1,many
imported_vqa,How many meatballs are in the biggest dish?,9,8,eight
amt,How many planes with a exhuast trail?,4,4,4
tdiuc_templates,How many people are there?,2,1,1
imported_genome,How many people are on the bike?,1,1,1
tdiuc_templates,How many people can be seen?,3,4,4
imported_vqa,How many trains are there?,3,2,two
imported_genome,How many people can you see?,2,2,2
imported_genome,How many people are in the picture?,1,1,one
imported_genome,How many adult cows are in this picture?,7,8,8
generate,How many umbrellas are there?,0,0,0
tdiuc_templates,How many handbags are there?,3,1,one
imported_genome,How many cars are there?,8,2,two
tdiuc_templates,How many people are there?,3,2,two
imported_vqa,How many animals are in the photo?,4,4,4
imported_genome,How many doors do you see on the train?,1,1,1
imported_genome,How many buses are there?,1,1,1
tdiuc_templates,How many sheep are in the picture?,10,50,50
tdiuc_templates,How many umbrellas can be seen?,2,3,3
imported_genome,How many men are there?,2,3,3
imported_genome,How many birds are in the photo?,2,2,2
imported_vqa,How many hot dogs are there?,11,12,12
imported_vqa,How many birds are there?,7,8,8
tdiuc_templates,How many people are there?,5,6,6
imported_genome,How many animals are in the picture?,5,6,6
imported_genome,How many people are there?,9,8,8
tdiuc_templates,How many people are there?,6,5,5
imported_genome,How many people are shown?,4,5,5
imported_genome,How many signs are there?,4,4,4
tdiuc_templates,How many people are there?,6,10,10
tdiuc_templates,How many bottles can you see?,8,7,7
tdiuc_templates,How many people can you see?,3,3,3
tdiuc_templates,How many people can you see?,9,-1,more than ten
generate,How many people are probably going to eat this food?,0,0,0
tdiuc_templates,How many people are in the photo?,11,-1,more than ten
amt,How many trash cans are to the left side of the skater?,2,2,2
tdiuc_templates,How many sandwiches are there?,4,1,1
tdiuc_templates,How many people are there?,6,15,15
imported_vqa,How many windows are on the right side of the limo?,6,4,four
imported_genome,How many giraffe?,4,5,5
tdiuc_templates,How many books are there?,7,15,15
tdiuc_templates,How many people are there?,6,10,10
imported_vqa,How many lights are red?,6,6,6
tdiuc_templates,How many people are there?,2,2,two
generate,How many people are not on the ski lift?,0,2,2
tdiuc_templates,How many people are in the photo?,9,12,12
tdiuc_templates,How many people are there?,13,12,twelve
imported_vqa,How many knobs are on the stove?,8,8,8
tdiuc_templates,How many broccolis are in the photo?,5,3,3
generate,How many people are standing on the dirt?,0,0,zero
amt,How many white poles are on the right side of the horse?,3,4,4
tdiuc_templates,How many tvs are there?,11,15,15
imported_genome,How many slices is the cake on the left cut into?,12,8,8
imported_vqa,How many people are in the water?,6,10,10
tdiuc_templates,How many people can be seen?,6,10,10
imported_genome,How many bicycles are there?,1,2,2
imported_genome,How many people are in the picture?,7,8,8
imported_genome,How many beer bottles are shown?,1,1,1
imported_genome,How many types of vegetables are shown?,4,4,4
tdiuc_templates,How many people can be seen?,12,-1,many
imported_vqa,How many people do you see?,3,4,4
imported_vqa,How many total elephants are visible?,5,6,six
imported_vqa,How many elephants are there?,6,5,five
imported_vqa,How many legs are there?,8,8,8
tdiuc_templates,How many people can be seen?,10,1,one
imported_vqa,How many squares in the window?,6,6,6
imported_vqa,How many donuts are in the box?,10,12,12
imported_genome,How many sets of tracks shown?,4,4,4
imported_vqa,How many colors are on this kite?,6,8,8
tdiuc_templates,How many sheep are in the picture?,6,14,14
imported_vqa,How many candles are lit?,6,7,7
imported_vqa,How many men are in this picture?,7,9,9
imported_genome,How many pictures are joined together?,3,3,3
tdiuc_templates,How many trucks are there?,2,1,1
imported_vqa,How many waffles?,8,12,12
tdiuc_templates,How many people are in the picture?,2,2,2
tdiuc_templates,How many carrots are in the picture?,6,10,10
imported_genome,How many nails are visible in the planks of wood?,15,8,8
imported_genome,How many people are in the picture?,3,3,3
imported_vqa,How many skiers are in this picture?,2,3,3
tdiuc_templates,How many bottles are in the picture?,4,10,10
tdiuc_templates,How many people are in the picture?,3,3,3
imported_genome,How many ducks are on the sign?,5,5,5
imported_vqa,How many cars are here?,0,0,0
tdiuc_templates,How many people are in the picture?,5,5,5
imported_vqa,How many pillows are on this couch?,3,2,2
imported_vqa,How many legs does the giraffe have?,4,4,four
tdiuc_templates,How many people are there?,3,20,20
tdiuc_templates,How many toilets can you see?,6,0,0
tdiuc_templates,How many people are visible?,5,1,one
imported_vqa,How many cups are here?,2,2,2
tdiuc_templates,How many cows are there?,6,7,seven
tdiuc_templates,How many kites are in the photo?,8,14,14
tdiuc_templates,How many people are there?,5,7,seven
tdiuc_templates,How many hot dogs can be seen?,9,12,12
tdiuc_templates,How many people are in the photo?,3,5,5
imported_genome,How many planes are in the photo?,1,1,1
tdiuc_templates,How many people are in the picture?,2,7,seven
tdiuc_templates,How many teddy bears are in the picture?,7,7,7
imported_vqa,How many women are seated at the table?,6,5,five
tdiuc_templates,How many bananas are there?,5,20,20
imported_vqa,How many people are in the picture?,6,5,5
tdiuc_templates,How many people are there?,8,13,13
imported_vqa,How many people are there?,15,16,16
tdiuc_templates,How many people are in the picture?,5,5,5
imported_vqa,How many birds are on the street light?,15,15,15
imported_vqa,How many steps are shown?,5,5,5
imported_genome,How many cars are there?,3,5,5
imported_vqa,How many cups are there?,3,4,4
imported_vqa,How many giraffes are there?,4,5,5
tdiuc_templates,How many cell phones are in the picture?,6,6,6
tdiuc_templates,How many sheep are in the picture?,5,5,5
tdiuc_templates,How many people can be seen?,1,1,1
tdiuc_templates,How many cups can be seen?,3,2,2
tdiuc_templates,How many oranges are there?,3,5,5
tdiuc_templates,How many people can be seen?,6,11,11
tdiuc_templates,How many people are there?,5,10,10
tdiuc_templates,How many vases are there?,5,4,4
tdiuc_templates,How many people can be seen?,8,4,4
imported_vqa,How many flip flops?,6,4,4
imported_vqa,How many men are wearing hats?,5,3,3
tdiuc_templates,How many people can be seen?,6,10,10
tdiuc_templates,How many people can be seen?,3,3,3
tdiuc_templates,How many horses can be seen?,9,20,20
tdiuc_templates,How many apples can be seen?,7,20,20
imported_vqa,How many benches are visible?,6,6,six
imported_genome,How many lights are visible on the front of the train?,6,4,4
imported_vqa,How many fingers does the woman have?,10,10,10
generate,How many pieces is the sandwich cut into?,0,0,0
imported_vqa,How many horses are in the stables?,3,2,2
tdiuc_templates,How many people can you see?,3,3,3
tdiuc_templates,How many motorcycles are in the picture?,4,7,seven
tdiuc_templates,How many people are visible?,6,7,seven
imported_vqa,How many fingers is the man holding up?,5,2,2
tdiuc_templates,How many cows are in the photo?,3,2,2
imported_genome,How many horses are pictured?,1,1,1
tdiuc_templates,How many people are there?,7,10,ten
tdiuc_templates,How many chairs are there?,2,2,2
imported_genome,How many donuts are glazed?,5,3,3
tdiuc_templates,How many people are there?,5,5,5
imported_vqa,How many people are there?,11,10,10
tdiuc_templates,How many people are there?,5,5,5
generate,How many horses are there?,0,0,0
tdiuc_templates,How many motorcycles can be seen?,8,10,10
imported_genome,How many motorcycles are there?,2,2,2
tdiuc_templates,How many people are visible?,3,3,three
tdiuc_templates,How many people can you see?,8,20,20
tdiuc_templates,How many boats are there?,3,10,10
imported_vqa,How many people are in the water?,8,9,9
imported_vqa,How many carrots are there?,6,6,6
imported_genome,How many cows are in the photo?,4,4,four
tdiuc_templates,How many horses are there?,5,6,6
tdiuc_templates,How many people can be seen?,4,5,5
imported_vqa,How many flowers are in this vase?,6,6,6
imported_genome,How many people are there?,5,4,4
amt,How many people are carrying surfboards?,2,2,2
tdiuc_templates,How many umbrellas are there?,9,9,9
imported_vqa,How many trains are there?,2,2,two
imported_genome,How many stuffed animals in the picture?,8,8,8
imported_vqa,How many donuts are pictured?,6,6,6
tdiuc_templates,How many people are visible?,6,7,7
imported_vqa,How many birds are there?,10,10,10
imported_vqa,How many chairs are in the room?,4,4,four
imported_vqa,How many different fruit are in the window?,3,3,3
imported_genome,How many tomatoes are there?,7,8,8
imported_genome,How many men are wearing suits?,2,2,2
amt,How many posters tacked on the wall are purple?,4,0,0
imported_genome,How many remotes are there?,6,6,6
tdiuc_templates,How many people are visible?,6,8,8
imported_genome,How many people are in this picture?,8,15,15
tdiuc_templates,How many toilets are visible?,1,1,one
amt,How many buttons are on the microwave?,15,20,20
tdiuc_templates,How many people are there?,5,6,6
tdiuc_templates,How many cars can be seen?,4,5,5
imported_vqa,How many fingers does the woman have?,10,10,10
tdiuc_templates,How many clocks are there?,13,20,twenty
tdiuc_templates,How many people can you see?,3,6,6
tdiuc_templates,How many buses are visible?,4,2,two
imported_vqa,How many tracks are pictured?,4,6,6
tdiuc_templates,How many wine glasses are in the picture?,9,15,15
imported_vqa,How many people are sitting at the table?,7,8,8
tdiuc_templates,How many trains are there?,2,1,one
tdiuc_templates,How many people are visible?,2,1,1
imported_genome,How many people are pictured?,3,4,four
imported_vqa,How many people are visible?,0,-1,none
imported_genome,How many white stripes are visible?,5,4,4
tdiuc_templates,How many people are there?,3,4,4
imported_genome,How many black poles are included in the fence on the lefthand side of the train?,8,6,6
imported_vqa,How many cars are there?,1,1,1
tdiuc_templates,How many people can be seen?,4,6,6
imported_genome,How many people are in the picture?,1,1,one
imported_vqa,How many pairs of scissors are there?,5,5,5
generate,How many of the people are wearing short sleeved shirts?,0,0,0
imported_vqa,How many oranges can you see?,3,3,3
tdiuc_templates,How many people are there?,4,6,6
imported_vqa,How many zebras are in the picture?,3,4,4
tdiuc_templates,How many horses are in the photo?,10,12,12
imported_vqa,How many train cars are there?,5,6,6
tdiuc_templates,How many people are visible?,11,12,12
tdiuc_templates,How many suitcases are there?,11,10,10
imported_vqa,How many animals?,4,4,4
imported_genome,How many windows does the bus have?,12,16,16
tdiuc_templates,How many people are there?,4,2,two
tdiuc_templates,How many sheep are there?,6,6,6
tdiuc_templates,How many people are in the picture?,13,16,16
tdiuc_templates,How many people are in the picture?,5,10,10
imported_vqa,How many people are there?,4,4,4
tdiuc_templates,How many people are in the photo?,10,-1,more than five
tdiuc_templates,How many people can be seen?,9,100,100
generate,How many already fried donuts are there in the image?,0,0,0
imported_vqa,How many children are playing the game?,6,7,7
imported_vqa,How many whiteboards are in the picture?,4,1,1
tdiuc_templates,How many pizzas are there?,3,4,4
imported_genome,How many people are seen in the photo?,7,7,7
tdiuc_templates,How many buses can you see?,8,9,nine
tdiuc_templates,How many bottles are there?,4,1,one
tdiuc_templates,How many wine glasses can be seen?,5,6,6
amt,How many suurfboards are to the left of the man?,5,8,8
tdiuc_templates,How many broccolis are in the photo?,5,20,20
tdiuc_templates,How many zebras are in the picture?,4,4,four
tdiuc_templates,How many people are in the picture?,5,5,five
tdiuc_templates,How many broccolis can be seen?,4,5,5
tdiuc_templates,How many people are in the photo?,5,-1,more than ten
amt,How many people are taking pictures?,1,2,2
tdiuc_templates,How many people are in the photo?,5,5,5
tdiuc_templates,How many bottles are in the picture?,5,5,5
imported_genome,How many yellow and red boxes are stacked up?,6,4,4
generate,How many bottle caps?,0,2,2
tdiuc_templates,How many people are in the picture?,9,12,12
imported_vqa,How many slats does the bench have?,10,10,10
tdiuc_templates,How many bowls can you see?,4,1,1
imported_genome,How many pillows are on the couch?,5,6,6
tdiuc_templates,How many people are in the photo?,7,-1,more than ten
imported_genome,How many people are in the boat?,5,5,5
imported_vqa,How many slices are there?,12,16,16
tdiuc_templates,How many people can you see?,3,4,4
imported_genome,How many different food items shown?,6,5,5
tdiuc_templates,How many chairs are in the picture?,5,4,four
tdiuc_templates,How many couches are there?,1,1,1
tdiuc_templates,How many people can be seen?,7,10,10
imported_vqa,How many cowboy hats?,0,0,0
tdiuc_templates,How many chairs are there?,5,6,6
tdiuc_templates,How many potted plants can be seen?,4,3,three
amt,How many people driving motors on the street?,0,1,1
tdiuc_templates,How many people can you see?,5,10,10
imported_vqa,How many vehicles are there?,6,7,seven
tdiuc_templates,How many people are visible?,10,15,15
imported_genome,How many lights are on the front of the train?,8,4,four
tdiuc_templates,How many cows are there?,8,12,twelve
imported_genome,How many window panes?,9,12,12
imported_vqa,How many drinking glasses are on the table?,5,5,five
imported_vqa,"How many ""S"" patterns are on the plate?",8,3,3
imported_genome,How many umbrellas are in the picture?,4,4,4
imported_vqa,How many pots would fit?,4,6,6
imported_genome,How many windows are in photo?,4,4,4
tdiuc_templates,How many people are in the photo?,6,5,five
tdiuc_templates,How many people are in the picture?,10,12,12
tdiuc_templates,How many vases are in the picture?,6,6,6
tdiuc_templates,How many people can be seen?,5,10,10
tdiuc_templates,How many people can you see?,5,3,3
imported_vqa,How many whole pizzas are there?,6,1,one
tdiuc_templates,How many cars are in the photo?,4,4,four
tdiuc_templates,How many cars are in the picture?,10,20,20
tdiuc_templates,How many people are there?,4,3,3
tdiuc_templates,How many giraffes are in the picture?,5,6,6
tdiuc_templates,How many people are visible?,3,5,five
tdiuc_templates,How many motorcycles are there?,8,15,15
amt,How many cookies with stripes are on a pan?,8,12,12
imported_genome,How many men are in the picture?,5,5,5
tdiuc_templates,How many beds are there?,7,12,12
imported_genome,How many cars are shown?,5,8,8
tdiuc_templates,How many people are visible?,5,6,6
imported_genome,How many teddy bears are in the photo?,2,2,2
imported_genome,How many signs are there?,8,5,five
imported_genome,How many vehicles are in the picture?,4,4,4
tdiuc_templates,How many sheep are visible?,5,5,five
tdiuc_templates,How many people are there?,6,7,7
imported_vqa,How many colors are on the umbrella?,10,8,8
tdiuc_templates,How many people are there?,7,-1,many
imported_vqa,How many donuts are there?,12,12,12
tdiuc_templates,How many chairs are there?,8,4,4
imported_vqa,How many wheels are showing?,2,2,2
amt,How many lights are on the wall in the shower?,4,4,4
imported_vqa,How many umbrellas are in this scene?,6,6,6
tdiuc_templates,How many bicycles are there?,7,10,ten
tdiuc_templates,How many people can you see?,4,3,3
tdiuc_templates,How many toilets are there?,1,1,1
imported_genome,How many doors are visible on the red train?,2,2,2
imported_genome,How many airplanes are shown?,3,3,3
generate,How many clear bottles of wine are on the table?,0,0,0
imported_genome,How many lights are on?,5,2,2
amt,How many carrots are on the plate?,8,11,11
tdiuc_templates,How many ties are in the photo?,2,2,2
imported_vqa,How many books are pictured?,4,5,5
imported_genome,How many trucks are visible?,1,2,2
imported_vqa,How many slats on the bench back are visible?,5,5,five
tdiuc_templates,How many people are visible?,11,10,ten
tdiuc_templates,How many people are in the photo?,5,6,6
imported_genome,How many items are shown in front of the couch?,9,5,5
imported_vqa,How many sides does the red and white sign have?,4,4,4
tdiuc_templates,How many people are visible?,4,4,4
imported_vqa,How many plates are on the table?,5,4,4
imported_genome,How many cows are in the picture?,7,7,7
imported_vqa,How many wheels are on the dump truck?,8,8,8
generate,How many zebras have stripes?,0,0,0
imported_vqa,How many tennis players are there?,4,4,4
tdiuc_templates,How many bottles can you see?,3,2,2
imported_vqa,How many players of the same team do you see?,6,2,2
imported_vqa,How many shelves are there?,5,6,6
tdiuc_templates,How many people are there?,4,7,seven
tdiuc_templates,How many buses are in the photo?,4,2,two
tdiuc_templates,How many bananas are there?,6,-1,twenty five
tdiuc_templates,How many people are there?,3,2,two
tdiuc_templates,How many people are there?,5,8,8
tdiuc_templates,How many people can be seen?,8,11,11
generate,How many dogs on the beach?,0,0,0
tdiuc_templates,How many chairs are in the picture?,6,4,4
imported_vqa,How many people on the dock?,4,4,4
imported_genome,How many motorcyclists are there?,6,6,6
imported_genome,How many fridges are pictured?,1,1,1
tdiuc_templates,How many cakes are there?,8,12,12
tdiuc_templates,How many people are there?,4,1,one
imported_vqa,How many total computers are in the picture?,0,0,0
tdiuc_templates,How many people are in the picture?,8,15,15
tdiuc_templates,How many people can you see?,5,5,5
tdiuc_templates,How many boats are in the photo?,1,1,1
tdiuc_templates,How many people are there?,12,-1,more than ten
tdiuc_templates,How many frisbees can you see?,5,6,6
tdiuc_templates,How many bottles are in the picture?,4,4,4
imported_genome,How many tomato slices are there?,11,8,8
tdiuc_templates,How many sheep can you see?,2,2,2
generate,How many slices of the pizza have been eaten?,0,0,0
imported_vqa,How many fridges are in the picture?,6,8,8
imported_genome,How many giraffe are there?,7,8,8
tdiuc_templates,How many cups are there?,3,3,3
tdiuc_templates,How many people can you see?,9,-1,more than ten
tdiuc_templates,How many teddy bears are there?,5,6,6
imported_genome,How many light poles?,4,6,6
generate,How many people are wearing orange vests?,0,0,0
imported_vqa,How many varieties of plants are in this picture?,3,2,2
tdiuc_templates,How many people are in the picture?,9,-1,more than ten
imported_genome,How many umbrellas are visible?,5,6,6
imported_vqa,How many seats are there?,8,10,ten
tdiuc_templates,How many chairs can you see?,6,6,six
amt,How many slices of bread are on the cutting board?,6,8,8
imported_vqa,How many eyelashes does the cat have?,9,10,10
imported_vqa,How many cups are there?,6,6,6
tdiuc_templates,How many people are in the photo?,3,3,3
imported_genome,How many teddy bears are there?,1,1,1
tdiuc_templates,How many sheep are in the photo?,6,6,6
tdiuc_templates,How many sheep are there?,8,-1,many
imported_vqa,How many people can sit at the dining room table?,5,4,4
tdiuc_templates,How many sinks are visible?,2,2,two
imported_genome,How many donuts?,6,6,6
tdiuc_templates,How many giraffes are in the picture?,1,1,one
tdiuc_templates,How many people are there?,3,3,three
imported_genome,How many people are in the photo?,6,4,4
tdiuc_templates,How many elephants are there?,10,15,15
tdiuc_templates,How many chairs are visible?,5,6,six
imported_genome,How many number on the remote?,10,0,0
tdiuc_templates,How many teddy bears are in the picture?,1,1,one
tdiuc_templates,How many people are in the picture?,4,3,3
tdiuc_templates,How many kites are there?,10,20,20
tdiuc_templates,How many bowls can you see?,5,2,2
tdiuc_templates,How many birds are there?,8,100,100
tdiuc_templates,How many teddy bears are in the picture?,4,6,6
tdiuc_templates,How many donuts are in the picture?,11,-1,many
imported_genome,How many slices of apple did the knife already make?,12,10,10
tdiuc_templates,How many people are in the picture?,5,6,6
tdiuc_templates,How many people can be seen?,4,20,20
imported_vqa,How many men wear a hat?,1,1,1
tdiuc_templates,How many surfboards are in the picture?,1,1,1
tdiuc_templates,How many motorcycles are visible?,9,10,10
tdiuc_templates,How many people can you see?,8,-1,many
tdiuc_templates,How many elephants are there?,7,6,6
tdiuc_templates,How many apples can you see?,3,4,4
tdiuc_templates,How many people are there?,4,5,5
tdiuc_templates,How many umbrellas can you see?,2,2,2
tdiuc_templates,How many people are in the photo?,5,-1,more than ten
imported_genome,How many people are there?,1,1,1
tdiuc_templates,How many people are in the photo?,6,8,eight
amt,How many noodles are not in the bowl?,0,1,1
imported_genome,How many people are there?,7,10,10
tdiuc_templates,How many people are in the photo?,6,7,seven
imported_vqa,How many staples?,3,3,3
tdiuc_templates,How many people are there?,8,6,6
tdiuc_templates,How many people are there?,2,2,2
tdiuc_templates,How many people are there?,8,20,20
imported_vqa,How many planes are there?,5,4,four
tdiuc_templates,How many broccolis are there?,8,4,4
imported_genome,How many red cars are in the parking lot?,1,1,one
tdiuc_templates,How many chairs can you see?,4,5,5
tdiuc_templates,How many birds are there?,8,10,10
amt,How many people are sitting down?,3,2,2
tdiuc_templates,How many people are there?,5,4,four
tdiuc_templates,How many people are in the photo?,4,8,8
tdiuc_templates,How many broccolis are there?,5,3,3
tdiuc_templates,How many cows can be seen?,10,12,12
tdiuc_templates,How many people are in the picture?,6,12,12
tdiuc_templates,How many chairs can be seen?,6,5,five
imported_genome,How many people in picture?,5,6,6
tdiuc_templates,How many dining tables are in the picture?,2,1,1
imported_genome,How many vehicles are visible in foreground of the photo?,6,4,4
tdiuc_templates,How many people can you see?,2,2,two
imported_vqa,How many people are in the picture?,4,5,5
imported_vqa,How many animals are in the image?,4,6,6
tdiuc_templates,How many people are in the photo?,8,10,10
tdiuc_templates,How many people can be seen?,6,10,10
tdiuc_templates,How many people are there?,2,2,two
generate,How many zebra heads can you see?,0,0,zero
tdiuc_templates,How many bowls can you see?,3,2,2
tdiuc_templates,How many people are in the photo?,5,4,four
imported_genome,How many babies are there?,3,3,3
imported_vqa,How many bikes are there?,6,7,seven
amt,How many knows are near sthe tv?,1,0,0
tdiuc_templates,How many microwaves can you see?,2,1,1
tdiuc_templates,How many people are there?,11,20,20
imported_vqa,How many bananas are there?,5,6,6
generate,How many bikes in the shot?,0,0,0
imported_vqa,How many zebras are present?,4,5,5
imported_genome,How many people are standing up?,4,5,5
tdiuc_templates,How many boats are in the photo?,4,-1,more than ten
amt,How many people are on the left side of the table?,6,8,8
imported_vqa,How many tires are on the truck?,6,4,four
generate,How many trains are there?,0,0,0
imported_vqa,How many animals do you see?,8,8,8
imported_vqa,How many boats are not on shore?,1,3,3
imported_vqa,How many feet are visible?,4,4,four
tdiuc_templates,How many chairs are there?,10,100,100
tdiuc_templates,How many oranges are there?,6,10,10
generate,How many bottle caps are in the photo?,0,0,0
imported_vqa,How many tusks are on each elephant?,0,2,two
imported_vqa,How many plates are visible?,7,8,8
imported_vqa,How many dogs are on the bed?,3,3,3
generate,How many ducks have orange hats?,0,0,0
tdiuc_templates,How many people are there?,8,-1,more than ten
imported_vqa,How many people are wearing eyeglasses?,0,0,0
imported_vqa,How many people are seen?,9,10,10
imported_vqa,How many planes are visible?,6,7,seven
imported_genome,How many trees are in the picture?,6,10,10
tdiuc_templates,How many people are there?,6,10,10
imported_genome,How many boys are there?,1,1,one
imported_vqa,How many cars are visible?,4,2,two
amt,How many players in the ground?,4,4,4
imported_vqa,How many animals?,9,10,10
tdiuc_templates,How many birds are there?,8,9,nine
imported_genome,How many cups do you see in this photo?,3,1,1
tdiuc_templates,How many people can be seen?,4,4,four
imported_vqa,How many men are in the picture?,7,8,8
amt,How many people are wearing hats?,3,5,5
imported_vqa,How many remotes are on the table?,3,2,2
generate,How many cars have headlights on?,0,0,0
imported_vqa,How many balls are visible?,5,3,3
tdiuc_templates,How many trains are there?,9,4,4
tdiuc_templates,How many people are there?,3,3,three
tdiuc_templates,How many donuts can be seen?,10,-1,more than ten
tdiuc_templates,How many people can you see?,8,10,10
imported_vqa,How many giraffes are standing?,1,1,one
tdiuc_templates,How many donuts can be seen?,14,20,twenty
tdiuc_templates,How many people are in the picture?,8,-1,lot
tdiuc_templates,How many people are in the picture?,9,12,12
tdiuc_templates,How many carrots can you see?,6,7,7
imported_genome,How many chairs?,4,3,3
imported_vqa,How many guys are on top the ramp?,5,6,6
imported_vqa,How many giraffes are in the field?,6,7,seven
imported_genome,How many people are pictured?,4,5,5
imported_genome,How many trucks are in the photo?,1,1,one
tdiuc_templates,How many dining tables are in the picture?,3,4,4
imported_vqa,How many pieces of wood appear on the bench?,6,6,6
tdiuc_templates,How many people are in the photo?,4,5,5
imported_vqa,How many windows are in the side of the bus?,7,6,6
amt,How many people have their arm outstretched?,1,2,2
imported_vqa,How many kids are there?,2,2,2
imported_genome,How many plates are at the table?,8,8,8
imported_vqa,How many burners does the stove have?,6,4,four
imported_genome,How many lights are visible?,4,6,six
tdiuc_templates,How many people are there?,5,-1,more than ten
tdiuc_templates,How many people are there?,6,20,20
imported_vqa,How many slices of pizza?,5,6,6
tdiuc_templates,How many people are there?,9,-1,more than ten
tdiuc_templates,How many broccolis can you see?,10,10,10
imported_vqa,How many cars are there?,5,6,six
imported_genome,How many windows are showing?,7,6,6
tdiuc_templates,How many people are there?,6,8,8
tdiuc_templates,How many people are in the photo?,8,10,10
tdiuc_templates,How many people can be seen?,9,10,10
tdiuc_templates,How many chairs are there?,3,2,two
imported_vqa,How many games here were created by Nintendo?,6,7,7
tdiuc_templates,How many ovens can be seen?,1,1,one
tdiuc_templates,How many broccolis are there?,4,-1,many
imported_genome,How many zebras?,3,4,4
tdiuc_templates,How many cars can be seen?,3,2,2
tdiuc_templates,How many people are there?,2,2,two
tdiuc_templates,How many people can be seen?,7,11,11
tdiuc_templates,How many chairs are there?,5,10,10
tdiuc_templates,How many people are in the picture?,10,-1,many
imported_genome,How many people are there?,1,1,1
tdiuc_templates,How many people are in the photo?,8,12,12
tdiuc_templates,How many people are in the photo?,3,3,three
imported_vqa,How many cats are in the picture?,2,2,2
imported_genome,How many people are seated?,9,10,10
tdiuc_templates,How many people can you see?,4,-1,more than ten
imported_genome,How many faces are in the picture?,1,1,one
tdiuc_templates,How many people are in the picture?,8,13,thirteen
tdiuc_templates,How many people can be seen?,11,10,10
tdiuc_templates,How many people are there?,8,8,eight
